db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,179.269,,0.98
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,8,1,False,237.979,,0.955
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,5,1,False,238.39,,0.949
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,4,1,False,235.926,,0.949
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,2,1,False,237.879,,0.939
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,1,1,False,237.765,,0.924
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,0,1,False,241.041,,0.944
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,65.851,,0.975
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,8,1,False,61.812,,0.944
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,63.193,,0.944
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,4,1,False,59.759,,0.944
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,59.752,,0.939
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,61.393,,0.505
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,62.307,,0.667
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,70.074,,0.773
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,8,1,False,65.94,,0.737
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,5,1,False,66.638,,0.742
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,4,1,False,66.287,,0.742
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,2,1,False,60.085,,0.742
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,1,1,False,54.228,,0.859
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,0,1,False,55.855,,0.455
MIMIC-IV,gpt-3.5-turbo,0.2,10,1,False,84.072,,0.924
MIMIC-IV,gpt-3.5-turbo,0.2,8,1,False,80.819,,0.869
MIMIC-IV,gpt-3.5-turbo,0.2,5,1,False,75.96,,0.909
MIMIC-IV,gpt-3.5-turbo,0.2,4,1,False,80.71,,0.934
MIMIC-IV,gpt-3.5-turbo,0.2,2,1,False,81.367,,0.909
MIMIC-IV,gpt-3.5-turbo,0.2,1,1,False,84.675,,0.869
MIMIC-IV,gpt-3.5-turbo,0.2,0,1,False,77.324,,0.889
MIMIC-IV,gpt-4o,0.2,10,1,False,85.715,,0.99
MIMIC-IV,gpt-4o,0.2,8,1,False,102.997,,0.99
MIMIC-IV,gpt-4o,0.2,5,1,False,83.379,,0.99
MIMIC-IV,gpt-4o,0.2,4,1,False,76.622,,0.985
MIMIC-IV,gpt-4o,0.2,2,1,False,80.611,,0.955
MIMIC-IV,gpt-4o,0.2,1,1,False,89.145,,0.975
MIMIC-IV,gpt-4o,0.2,0,1,False,85.769,,0.965
