db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.0,10,1,False,151.45,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,149.474,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.5,10,1,False,140.814,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,10,1,False,65.781,,0.985,0.857,0.923,0.889,0.989,0.956
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,65.918,,0.985,0.857,0.923,0.889,0.989,0.956
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,10,1,False,68.517,,0.985,0.917,0.846,0.88,0.995,0.92
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,10,1,False,46.359,,0.914,0.706,0.923,0.8,0.913,0.918
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,41.926,,0.904,0.706,0.923,0.8,0.902,0.913
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,10,1,False,41.758,,0.843,0.706,0.923,0.8,0.837,0.88
MIMIC-IV,gpt-3.5-turbo,0.0,10,1,False,83.658,,0.32,0.088,1.0,0.162,0.272,0.636
MIMIC-IV,gpt-3.5-turbo,0.2,10,1,False,83.238,,0.32,0.088,1.0,0.162,0.272,0.636
MIMIC-IV,gpt-3.5-turbo,0.5,10,1,False,81.443,,0.32,0.088,1.0,0.162,0.272,0.636
MIMIC-IV,gpt-4o,0.0,10,1,False,91.07,,0.99,0.923,0.923,0.923,0.995,0.959
MIMIC-IV,gpt-4o,0.2,10,1,False,149.726,,0.985,0.917,0.846,0.88,0.995,0.92
MIMIC-IV,gpt-4o,0.5,10,1,False,153.729,,0.985,0.917,0.846,0.88,0.995,0.92
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.0,10,1,False,161.881,,0.985,0.7,1.0,0.824,0.984,0.992
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,158.858,,0.985,0.7,1.0,0.824,0.984,0.992
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.5,10,1,False,158.814,,0.985,0.7,1.0,0.824,0.984,0.992
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.0,10,1,False,80.235,,0.985,0.75,0.857,0.8,0.99,0.923
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,71.476,,0.99,0.778,1.0,0.875,0.99,0.995
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.5,10,1,False,72.308,,0.985,0.75,0.857,0.8,0.99,0.923
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.0,10,1,False,51.597,,0.755,0.429,0.857,0.571,0.751,0.804
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,50.934,,0.74,0.4,1.0,0.571,0.736,0.868
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.5,10,1,False,48.785,,0.71,0.462,1.0,0.632,0.705,0.852
eICU-CRD,gpt-3.5-turbo,0.0,10,1,False,71.619,,0.15,0.04,1.0,0.076,0.119,0.56
eICU-CRD,gpt-3.5-turbo,0.2,10,1,False,74.319,,0.185,0.041,1.0,0.079,0.155,0.578
eICU-CRD,gpt-3.5-turbo,0.5,10,1,False,73.126,,0.21,0.042,1.0,0.081,0.181,0.591
eICU-CRD,gpt-4o,0.0,10,1,False,85.273,,0.99,0.857,0.857,0.857,0.995,0.926
eICU-CRD,gpt-4o,0.2,10,1,False,102.365,,0.99,0.857,0.857,0.857,0.995,0.926
eICU-CRD,gpt-4o,0.5,10,1,False,95.78,,0.99,0.857,0.857,0.857,0.995,0.926
